taxon,day_112,day_113,label
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;sf_1;1805,219.6560495,-604.7642312,Nocardiaceae
Bacteria;Firmicutes;Clostridia;Unclassified;Unclassified;sf_7;4216,-155.1500387,-277.8825888,Clostridia
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplasts;Chloroplasts;sf_5;5006,-149.4502688,-270.0191152,Chloroplasts
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplasts;Chloroplasts;sf_5;5182,-144.8827237,-262.4313766,Chloroplasts
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;sf_1;6663,-141.9480395,-256.7576906,Sphingomonadaceae
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;sf_1;9337,38.11842967,65.44269305,Enterobacteriaceae
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;sf_1;3277,32.33347398,57.23790843,Propionibacteriaceae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;sf_1;2002,23.68730432,55.38654786,Micrococcaceae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;sf_1;1529,24.18134511,42.68645125,Bacillaceae
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;sf_1;3715,34.22630189,59.6587304,Bacillaceae
