Family,4/22/2003,4/23/2003,4/24/2003,4/25/2003,4/26/2003
Enterobacteriaceae,-44.72680975,-14.42863424,12.25456738,38.11842967,65.44269305
Bacillaceae,-40.77864476,-13.74341428,10.42903749,34.22630189,59.6587304
Propionibacteriaceae,-39.96507846,-15.68617381,7.67308237,32.33347398,57.23790843
Micrococcaceae,-38.80400447,-22.81755095,-2.261047884,23.68730432,55.38654786
Bacillaceae,-29.15989876,-10.08267471,7.121895022,24.18134511,42.68645125
Unclassified,173.4488677,65.52374127,-35.70869596,-139.8959134,-252.0993944
Sphingomonadaceae,176.4562432,66.70897806,-36.18317646,-141.9480395,-256.7576906
Chloroplasts,181.3458722,70.83963742,-34.62028955,-144.8827237,-262.4313766
Chloroplasts,186.8260499,73.12461293,-35.57097977,-149.4502688,-270.0191152
Unclassified,190.8400956,70.51230129,-41.20319925,-155.1500387,-277.8825888
mean,58.61210559,22.51497635,-11.57761409,-46.90364947,-85.30881709
